"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-25","91.6","3.35","5.08","Mookie Betts",605141,571760,"null","foul",,,,,"4","null","R","R","L","LAD","LAA","S","null","null",0,1,2020,"1.10","1.32","-0.62","2.66","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-12.208632502420159,-132.80467150226042,-3.0365987490575463,15.690287354786728,28.66108253563008,-16.02338521117085,"3.21","1.50","126","79.2","79","90.3","2498","5.7",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.81","null","null","null","null","null","null","null",38,"2","4-Seam Fastball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CU","2020-09-25","77.4","3.16","5.41","Mookie Betts",605141,571760,"null","called_strike",,,,,"7","null","R","R","L","LAD","LAA","S","null","null",0,0,2020,"-0.60","-0.51","-0.29","1.37","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-6.194367207096728,-112.65454140438223,-0.7543723769526439,-3.9984711238315733,20.40938763811828,-36.60955077523172,"3.21","1.48","null","null","null","76.4","2603","5.5",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.98","null","null","null","null","null","null","null",38,"1","Curveball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CH","2020-09-25","83.4","3.15","5.18","Mookie Betts",605141,571760,"field_out","hit_into_play",,,,,"14","Mookie Betts flies out to right fielder Taylor Ward.  ","R","R","L","LAD","LAA","X",9,"fly_ball",1,1,2020,"1.53","0.69","0.92","2.15","null","null","null",0,3,"Bot","184.74","54.33",,,"545358",,"null",-8.069694157532494,-121.16242633331937,-1.886492815105748,16.595348269900946,23.011170013832768,-25.152074365028323,"3.21","1.50","369","97.4","35","82.9","2102","6.0",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.49","0.200","0.300","0.00",1,0,0,3,24,"3","Changeup",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"CH","2020-09-25","82.5","3.05","5.32","Mookie Betts",605141,571760,"null","foul",,,,,"8","null","R","R","L","LAD","LAA","S","null","null",1,0,2020,"1.22","0.53","-0.23","1.96","null","null","null",0,3,"Bot","null","null",,,"545358",,"null",-9.753326682161667,-119.79749203452495,-2.1519067900669984,13.6311903003573,22.42885871175837,-26.843152291408714,"3.21","1.50","163","100.1","10","82.0","2032","6.0",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.48","null","null","null","null","null","null","null",24,"2","Changeup",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2020-09-25","90.4","3.09","5.31","Mookie Betts",605141,571760,"null","ball",,,,,"12","null","R","R","L","LAD","LAA","B","null","null",0,0,2020,"1.03","1.38","0.57","3.48","null","null","null",0,3,"Bot","null","null",,,"545358",,"null",-8.414834616964349,-131.42677080661574,-1.5122617263715465,13.764541965016491,28.43370397695916,-16.139146656279966,"3.30","1.50","null","null","null","89.9","2323","6.1",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.44","null","null","null","null","null","null","null",24,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2020-09-25","91.0","3.09","5.20","Mookie Betts",605141,571760,"single","hit_into_play_no_out",,,,,"6","Mookie Betts singles on a sharp ground ball to left fielder Justin Upton.  ","R","R","L","LAD","LAA","X",7,"ground_ball",0,0,2020,"1.17","1.30","0.47","2.27","null","null","null",0,1,"Bot","101.64","160.98",,,"545358",,"null",-9.005939982606613,-132.18655567050538,-4.1486278930598255,15.649906235137408,29.521770772797513,-16.272459311777144,"3.21","1.50","61","100.2","2","90.3","2523","6.1",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.43","0.486","0.437","0.90",1,1,0,4,5,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FF","2020-09-24","95.0","2.61","5.79","Mookie Betts",605141,666200,"field_out","hit_into_play",,,,,"4","Mookie Betts pops out to first baseman Matt Olson in foul territory.  ","R","R","L","LAD","OAK","X",3,"popup",1,0,2020,"1.25","1.15","-0.41","2.34","null","null","null",2,8,"Bot","134.86","200.13",,,"669221",,"null",-10.503297996811458,-137.79368942604205,-5.836186530802373,18.242074331560833,30.92703754522227,-16.33087290574376,"3.21","1.51","23","92.6","82","93.3","2466","5.5",631335,666200,"669221","621566","600303","571875","543760","543257","657656","572039","55.00","0.000","0.000","0.00",1,0,0,3,66,"2","4-Seam Fastball",5,1,5,1,1,5,5,1,"Standard","Standard"
"SI","2020-09-24","94.8","2.51","5.80","Mookie Betts",605141,666200,"null","ball",,,,,"12","null","R","R","L","LAD","OAK","B","null","null",0,0,2020,"1.51","0.74","1.59","3.01","null","null","null",2,8,"Bot","null","null",,,"669221",,"null",-5.661840450823176,-137.9922933751393,-3.2239246723217274,20.601209874808042,31.132842056655672,-22.2568274938398,"3.28","1.59","null","null","null","93.1","2417","5.3",631335,666200,"669221","621566","600303","571875","543760","543257","657656","572039","55.22","null","null","null","null","null","null","null",66,"1","Sinker",5,1,5,1,1,5,5,1,"Standard","Standard"
"SI","2020-09-24","96.3","2.74","5.66","Mookie Betts",605141,666200,"field_out","hit_into_play",,,,,"4","Mookie Betts pops out to first baseman Matt Olson in foul territory.  ","R","R","L","LAD","OAK","X",3,"popup",1,2,2020,"1.53","0.91","-0.67","2.58",572041,571771,621035,0,6,"Bot","169.46","176.71",,,"669221",,"null",-12.322837949417675,-139.63240941427674,-4.541207371227693,22.859531133038146,32.9249447483136,-19.410862505166467,"3.21","1.51","118","90.7","76","94.7","2489","5.7",631335,666200,"669221","621566","600303","571875","543760","543257","657656","572039","54.83","0.000","0.000","0.00",1,0,0,3,48,"4","Sinker",4,0,4,0,0,4,4,0,"Strategic","Standard"
"SI","2020-09-24","95.9","2.67","5.60","Mookie Betts",605141,666200,"null","called_strike",,,,,"4","null","R","R","L","LAD","OAK","S","null","null",1,1,2020,"1.34","0.54","-0.72","2.68",572041,571771,621035,0,6,"Bot","null","null",,,"669221",,"null",-11.759565612171663,-139.1617021002935,-3.242717584291675,20.015390175124537,31.682292844357526,-24.592392016403164,"3.22","1.55","null","null","null","94.3","2432","5.5",631335,666200,"669221","621566","600303","571875","543760","543257","657656","572039","54.99","null","null","null","null","null","null","null",48,"3","Sinker",4,0,4,0,0,4,4,0,"Strategic","Standard"
