"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-23","97.6","-1.50","6.05","Wilson Ramos",467092,607192,"field_out","hit_into_play",,,,,"2","Wilson Ramos flies out to right fielder Hunter Renfroe.  ","R","R","R","NYM","TB","X",9,"fly_ball",0,0,2020,"-0.10","1.37","-0.02","3.07","null","null","null",1,5,"Bot","186.41","106.79",,,"572287",,"null",4.328181695214674,-142.12683926504482,-5.824744642664624,-2.31713900482036,31.02434003196512,-12.508084834502371,"3.41","1.56","263","91.5","53","100.1","2246","7.5",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","52.97","0.000","0.000","0.00",1,0,0,3,36,"1","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Strategic"
"CU","2020-09-23","83.0","-1.65","6.24","Andres Gimenez",665926,607192,"field_out","hit_into_play",,,,,"5","Andres Gimenez grounds out to pitcher Tyler Glasnow.  ","R","L","R","NYM","TB","X",1,"ground_ball",0,2,2020,"0.76","-1.66","-0.14","2.75","null","null","null",0,5,"Bot","141.05","183.88",,,"572287",,"null",2.006803149296806,-120.83440265566094,1.8600093526864039,6.906769313725657,26.607807702819184,-48.91754553854884,"3.40","1.58","5","62.0","-43","83.8","3170","7.1",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.43","0.157","0.141","0.00",1,0,0,2,35,"3","Curveball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2020-09-23","93.5","-1.92","5.72","Andres Gimenez",665926,607192,"null","foul",,,,,"13","null","R","L","R","NYM","TB","S","null","null",0,1,2020,"-0.94","0.87","-0.08","1.46","null","null","null",0,5,"Bot","null","null",,,"572287",,"null",6.941267316299332,-135.84439473062915,-7.275524457541885,-13.158585117639735,28.778840810175062,-20.017433383312014,"3.40","1.58","1","71.6","-57","95.3","1838","7.3",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.17","null","null","null","null","null","null","null",35,"2","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2020-09-23","99.5","-1.76","5.90","Andres Gimenez",665926,607192,"null","called_strike",,,,,"8","null","R","L","R","NYM","TB","S","null","null",0,0,2020,"-0.36","1.64","-0.08","2.10","null","null","null",0,5,"Bot","null","null",,,"572287",,"null",5.545454410197083,-144.55480811104027,-9.043597455503365,-6.372836235980867,33.68303619323143,-7.195635426883779,"3.46","1.69","null","null","null","101.2","2562","7.3",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.18","null","null","null","null","null","null","null",35,"1","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2020-09-23","97.6","-1.57","6.03","Todd Frazier",453943,607192,"field_out","hit_into_play",,,,,"3","Todd Frazier flies out sharply to center fielder Manuel Margot.  ","R","R","R","NYM","TB","X",8,"fly_ball",1,0,2020,"-0.14","1.64","0.34","2.93","null","null","null",2,4,"Bot","90.59","63.17",,,"572287",,"null",5.569210566821973,-141.96135171727198,-6.754675952870291,-3.1365743007001226,29.989200814868056,-8.67168395687857,"3.31","1.60","333","102.4","45","99.8","2700","7.4",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.13","0.100","0.179","0.00",1,0,0,3,31,"2","4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"CU","2020-09-23","83.2","-1.45","6.28","Todd Frazier",453943,607192,"null","ball",,,,,"14","null","R","R","R","NYM","TB","B","null","null",0,0,2020,"0.49","-1.48","1.64","0.78","null","null","null",2,4,"Bot","null","null",,,"572287",,"null",6.211464919443463,-121.02522708946354,-3.21328235523944,3.4424625336477725,25.771899443923683,-46.12238426424001,"3.23","1.54","null","null","null","83.7","3147","6.9",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.62","null","null","null","null","null","null","null",31,"1","Curveball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"CH","2020-09-23","93.0","-1.91","5.78","Robinson Cano",429664,607192,"field_out","hit_into_play",,,,,"14","Robinson Cano grounds out sharply, second baseman Brandon Lowe to first baseman Nate Lowe.  ","R","L","R","NYM","TB","X",4,"ground_ball",0,1,2020,"-1.09","0.84","0.01","1.53","null","null","null",1,4,"Bot","146.16","143.32",,,"572287",,"null",7.453890975699374,-135.152732193622,-7.137205127562047,-14.992847212164966,27.41029613645475,-20.464190535118096,"3.53","1.67","11","107.3","-8","94.9","1805","7.3",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.18","0.314","0.283","0.00",1,0,0,2,30,"2","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2020-09-23","98.7","-1.89","6.03","Robinson Cano",429664,607192,"null","called_strike",,,,,"4","null","R","L","R","NYM","TB","S","null","null",0,0,2020,"-0.25","1.45","-0.69","2.82","null","null","null",1,4,"Bot","null","null",,,"572287",,"null",3.89038462091682,-143.6303405067378,-6.794897268216273,-4.31772727501419,30.162903552633033,-10.70008051123769,"3.65","1.77","null","null","null","100.6","2491","7.1",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.40","null","null","null","null","null","null","null",30,"1","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2020-09-23","81.5","-1.49","6.30","Dominic Smith",642086,607192,"home_run","hit_into_play_score",,,,,"5","Dominic Smith homers (10) on a fly ball to right field.  ","R","L","R","NYM","TB","X","null","fly_ball",1,1,2020,"0.73","-1.26","0.19","2.49","null","null","null",1,4,"Bot","243.77","52.01",,,"572287",,"null",2.399743068032044,-118.60667360441386,0.5252766833338831,6.31925456725263,24.535465691169023,-44.29949367889289,"3.39","1.66","441","107.8","32","82.0","2857","6.8",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.66","0.979","1.810","2.00",1,0,3,6,29,"3","Curveball",1,2,1,2,2,1,1,2,"Strategic","Standard"
"FF","2020-09-23","98.4","-1.82","5.92","Dominic Smith",642086,607192,"null","ball",,,,,"11","null","R","L","R","NYM","TB","B","null","null",0,1,2020,"-0.14","1.48","-0.25","3.54","null","null","null",1,4,"Bot","null","null",,,"572287",,"null",4.692965032784453,-143.31706288163,-4.548601857211885,-2.9480873644972494,31.80815619974486,-10.95568779730822,"3.39","1.72","null","null","null","100.9","2334","7.5",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","52.98","null","null","null","null","null","null","null",29,"2","4-Seam Fastball",1,2,1,2,2,1,1,2,"Strategic","Standard"
